Team,Average of home_team_pregame_rating_2018,Average of away_team_pregame_rating_2018,Average of home_team_score_2018,Average of away_team_score_2018,Average of home_team_postgame_rating_2018,Average of away_team_postgame_rating_2018,Home_Score_Away_Score_2018,Post_Home_Rating_Post_Away_Rating_2018,Pre_Home_Rating_Pre_Away_Rating_2018,Average of home_team_pregame_rating_2019,Average of away_team_pregame_rating_2019,Average of home_team_score_2019,Average of away_team_score_2019,Average of home_team_postgame_rating_2019,Average of away_team_postgame_rating_2019,Home_Score_Away_Score_2019,Post_Home_Rating_Post_Away_Rating_2019,Pre_Home_Rating_Pre_Away_Rating_2019,Average of home_team_pregame_rating_2020,Average of away_team_pregame_rating_2020,Average of home_team_score_2020,Average of away_team_score_2020,Average of home_team_postgame_rating_2020,Average of away_team_postgame_rating_2020,Home_Score_Away_Score_2020,Post_Home_Rating_Post_Away_Rating_2020,Pre_Home_Rating_Pre_Away_Rating_2020,Average of home_team_pregame_rating_2021,Average of away_team_pregame_rating_2021,Average of home_team_score_2021,Average of away_team_score_2021,Average of home_team_postgame_rating_2021,Average of away_team_postgame_rating_2021,Home_Score_Away_Score_2021,Post_Home_Rating_Post_Away_Rating_2021,Pre_Home_Rating_Pre_Away_Rating_2021
Anaheim Ducks,1524.905163,1502.509867,3,2.534883721,1524.846752,1502.568279,1.183486238,1.014826929,1.014905257,1488.095875,1502.388625,2.682926829,2.87804878,1487.418328,1503.066172,0.93220339,0.989589384,0.990486649,1474.16796,1505.136343,2.666666667,2.972222222,1473.524675,1505.779627,0.897196262,0.978579235,0.979424865,1446.915819,1510.255118,1.892857143,3.535714286,1445.001187,1512.16975,0.535353535,0.955581334,0.95806053
Arizona Coyotes,1418.282722,1505.37635,2.487804878,2.87804878,1417.876093,1505.782979,0.86440678,0.941620481,0.942144947,1470.255011,1501.870465,2.707317073,2.463414634,1470.133691,1501.991785,1.099009901,0.978789435,0.97894928,1498.234206,1508.163479,3.162162162,2.621621622,1498.571453,1507.826232,1.206185567,0.993862171,0.993416315,1486.497576,1509.297488,2.642857143,2.964285714,1486.000888,1509.794176,0.891566265,0.984240708,0.984893692
Boston Bruins,1537.597429,1507.991686,3.70212766,2.638297872,1538.048633,1507.540482,1.403225807,1.020237036,1.019632564,1551.757049,1514.152244,3.333333333,2.444444444,1552.02664,1513.882653,1.363636364,1.025196132,1.024835551,1576.155124,1515.453794,3.119047619,2.69047619,1575.726513,1515.882405,1.159292036,1.039478068,1.040054887,1557.892513,1511.442926,3.515151515,2.545454545,1558.487677,1510.847762,1.380952381,1.03153191,1.030731949
Buffalo Sabres,1429.040719,1505.276233,2.219512195,3.390243902,1427.546991,1506.769961,0.654676259,0.947421987,0.949354469,1450.429613,1504.821163,2.975609756,3.146341463,1450.359978,1504.890797,0.945736434,0.963764268,0.96385514,1454.432168,1501.109256,3.142857143,2.885714286,1454.806345,1500.735079,1.089108911,0.969395842,0.968904936,1438.361767,1522.529222,2.321428571,3.428571429,1437.359141,1523.531849,0.677083333,0.943438854,0.94471866
Calgary Flames,1498.364474,1505.841414,2.658536585,3.170731707,1497.044949,1507.160939,0.838461538,0.993288049,0.99503471,1522.331628,1501.162236,3.931818182,3.068181818,1522.611895,1500.881968,1.281481482,1.014478105,1.014102001,1513.125578,1501.095381,3.105263158,3.368421053,1512.182086,1502.038872,0.921875,1.006752964,1.008014279,1500.667992,1498.632512,3.25,2.785714286,1500.880087,1498.420417,1.166666667,1.001641509,1.001358225
Carolina Hurricanes,1480.121904,1507.105329,2.682926829,2.975609756,1479.517258,1507.709976,0.901639344,0.981300967,0.98209586,1499.918062,1514.4542,3.145833333,2.520833333,1500.476954,1513.895308,1.247933884,0.991136538,0.990401732,1538.83328,1508.404004,3.243243243,2.675675676,1538.596959,1508.640325,1.212121212,1.01985671,1.02017316,1559.469989,1507.085431,3.176470588,2,1560.295647,1506.259773,1.588235294,1.035874206,1.034758851
Chicago Blackhawks,1513.009172,1508.7654,2.902439024,2.731707317,1512.223846,1509.550726,1.0625,1.001770805,1.002812745,1466.848861,1507.451237,3.43902439,3.390243902,1466.65765,1507.642447,1.014388489,0.972815307,0.973065546,1483.013987,1510.115733,2.916666667,2.916666667,1482.684373,1510.445347,1,0.98162067,0.982053199,1488.64589,1512.523028,3.357142857,3.25,1488.544643,1512.624275,1.032967033,0.98408089,0.984213703
Colorado Avalanche,1466.520107,1512.48119,3.477272727,2.477272727,1467.981667,1511.019631,1.403669725,0.97151727,0.969612129,1502.901616,1504.582238,3.217391304,2.739130435,1502.840717,1504.643137,1.174603174,0.998802095,0.998882998,1541.569398,1507.384411,3.619047619,2.952380952,1541.423058,1507.530751,1.225806452,1.022482,1.022678347,1561.642473,1502.798171,4,1.939393939,1563.184248,1501.256397,2.0625,1.041250683,1.03915649
Columbus Blue Jackets,1520.891698,1507.229808,2.818181818,2.522727273,1520.686875,1507.434631,1.117117117,1.008791256,1.009064238,1526.104826,1517.563581,3.173913043,2.97826087,1525.651041,1518.017367,1.06569343,1.005028713,1.005628262,1521.816991,1503.908802,2.552631579,2.315789474,1521.433457,1504.292335,1.102272727,1.011394808,1.011907763,1482.334716,1509.42014,3.035714286,3.321428571,1481.737153,1510.017703,0.913978495,0.981271379,0.982055742
Dallas Stars,1501.070065,1507.229344,3.12195122,2.414634146,1501.525742,1506.773666,1.292929293,0.996517112,0.995913509,1508.076232,1511.347101,2.85106383,2.29787234,1508.276576,1511.146758,1.240740741,0.99810066,0.997835792,1525.194068,1519.957355,2.5,2.565217391,1524.723772,1520.427651,0.974576271,1.0028256,1.003445303,1514.78264,1506.84124,3.142857143,2.571428571,1514.678436,1506.945443,1.222222222,1.005131568,1.00527023
